Symbol,Company Name,Industry,Market Cap
ALYA,Alithya Group,Information Technology Services,135.81M
ALZN,Alzamend Neuro,Biotechnology,6.62M
AM,Antero Midstream,Oil & Gas Midstream,5.85B
AMAL,Amalgamated Financial,Banks - Regional,778.08M
AMAM,Ambrx Biopharma,Biotechnology,1.77B
AMAT,Applied Materials,Semiconductor Equipment & Materials,126.28B
AMBA,Ambarella,Semiconductor Equipment & Materials,2.34B
AMBC,Ambac Financial Group,Insurance - Specialty,714.53M
AMBI,Ambipar Emergency Response,Waste Management,410.18M
AMBO,Ambow Education Holding,Education & Training Services,3.70M
AMBP,Ardagh Metal Packaging,Packaging & Containers,2.15B
AMC,AMC Entertainment Holdings,Entertainment,932.28M
AMCR,Amcor,Packaging & Containers,14.22B
AMCX,AMC Networks,Entertainment,796.67M
AMD,Advanced Micro Devices,Semiconductors,239.13B
AME,AMETEK,Specialty Industrial Machinery,37.83B
AMED,Amedisys,Medical Care Facilities,3.06B
AMEH,Apollo Medical Holdings,Medical Care Facilities,2.17B
AMG,Affiliated Managers Group,Asset Management,5.00B
AMGN,Amgen,Drug Manufacturers - General,162.21B
AMH,American Homes 4 Rent,REIT - Residential,12.94B
AMK,AssetMark Financial Holdings,Asset Management,2.22B
AMKR,Amkor Technology,Semiconductors,7.46B
AMLI,American Lithium,Other Industrial Metals & Mining,246.85M
AMLX,Amylyx Pharmaceuticals,Biotechnology,1.09B
AMN,AMN Healthcare Services,Medical Care Facilities,2.89B
AMNB,American National Bankshares,Banks - Regional,501.37M
AMP,Ameriprise Financial,Asset Management,38.82B
AMPE,Ampio Pharmaceuticals,Biotechnology,1.74M
AMPG,AmpliTech Group,Communication Equipment,18.11M
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2.59B
AMPL,Amplitude,Software - Application,1.49B
AMPS,Altus Power,Utilities - Renewable,955.53M
AMPX,Amprius Technologies,Electrical Equipment & Parts,397.02M
AMPY,Amplify Energy,Oil & Gas E&P,231.06M
AMR,Alpha Metallurgical Resources,Coking Coal,4.82B
AMRC,Ameresco,Engineering & Construction,1.36B
AMRK,A-Mark Precious Metals,Capital Markets,641.76M
AMRN,Amarin Corporation,Biotechnology,446.00M
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.67B
AMS,American Shared Hospital Services,Medical Care Facilities,16.38M
AMSC,American Superconductor,Specialty Industrial Machinery,305.00M
AMSF,AMERISAFE,Insurance - Specialty,888.88M
AMST,Amesite,Software - Application,7.37M
AMSWA,American Software,Software - Application,397.36M
AMT,American Tower,REIT - Specialty,96.80B
AMTB,Amerant Bancorp,Banks - Regional,791.11M
AMTD,AMTD IDEA Group,Asset Management,3.33B
AMTX,Aemetis,Oil & Gas Refining & Marketing,157.83M
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",1.46B
AMWL,American Well,Health Information Services,330.70M
AMX,América Móvil,Telecom Services,57.92B
AMZN,Amazon.com,Internet Retail,"1,603.63B"
AN,AutoNation,Auto & Truck Dealerships,6.01B
ANAB,AnaptysBio,Biotechnology,611.76M
ANDE,The Andersons,Food Distribution,1.77B
ANEB,Anebulo Pharmaceuticals,Biotechnology,61.52M
ANET,Arista Networks,Computer Hardware,78.32B
ANF,Abercrombie & Fitch Co.,Apparel Retail,4.96B
ANGH,Anghami,Entertainment,29.04M
ANGI,Angi Inc.,Internet Content & Information,1.17B
ANGO,AngioDynamics,Medical Instruments & Supplies,241.47M
ANIK,Anika Therapeutics,Medical Devices,335.28M
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.14B
ANIX,Anixa Biosciences,Biotechnology,138.88M
ANL,Adlai Nortye,Biotechnology,346.49M
ANNX,Annexon,Biotechnology,336.85M
ANSC,Agriculture & Natural Solutions Acquisition,Shell Companies,348.45M
ANSS,ANSYS,Software - Application,31.08B
ANTE,AirNet Technology,Telecom Services,4.13M
ANTX,AN2 Therapeutics,Biotechnology,622.49M
ANVS,Annovis Bio,Biotechnology,128.28M
ANY,Sphere 3D,Software - Application,34.31M
AOGO,Arogo Capital Acquisition,Shell Companies,46.94M
AOMR,Angel Oak Mortgage,REIT - Mortgage,261.14M
AON,Aon plc,Insurance Brokers,59.79B
AONC,American Oncology Network,Medical Care Facilities,56.68M
AORT,Artivion,Medical Devices,742.98M
AOS,A. O. Smith,Specialty Industrial Machinery,12.00B
AOSL,Alpha and Omega Semiconductor,Semiconductors,737.40M
AOUT,American Outdoor Brands,Leisure,112.55M
AP,Ampco-Pittsburgh,Metal Fabrication,52.25M
APA,APA Corporation,Oil & Gas E&P,9.96B
APAC,StoneBridge Acquisition,Shell Companies,80.45M
APAM,Artisan Partners Asset Management,Asset Management,3.41B
APCA,AP Acquisition,Shell Companies,174.42M
APCX,AppTech Payments,Software - Infrastructure,35.17M
APD,Air Products and Chemicals,Specialty Chemicals,58.80B
APDN,Applied DNA Sciences,Diagnostics & Research,8.29M
APEI,American Public Education,Education & Training Services,194.37M
APG,APi Group,Engineering & Construction,7.80B
APGE,Apogee Therapeutics,Biotechnology,1.61B
APH,Amphenol,Electronic Components,57.69B
API,Agora,Software - Application,267.71M
APLD,Applied Digital,Capital Markets,829.86M
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3.78B
APLM,Apollomics,Biotechnology,86.62M
APLS,Apellis Pharmaceuticals,Biotechnology,7.83B
APLT,Applied Therapeutics,Biotechnology,188.44M
APM,Aptorum Group,Biotechnology,8.45M
APO,Apollo Global Management,Asset Management,54.11B
APOG,Apogee Enterprises,Building Products & Equipment,1.17B
APP,AppLovin,Software - Application,13.89B
APPF,AppFolio,Software - Application,6.54B
APPN,Appian,Software - Infrastructure,2.54B
APPS,Digital Turbine,Software - Application,594.68M
APRE,Aprea Therapeutics,Biotechnology,21.41M
APT,Alpha Pro Tech,Building Products & Equipment,60.68M
APTM,Alpha Partners Technology Merger,Shell Companies,243.09M
APTO,Aptose Biosciences,Biotechnology,18.19M
APTV,Aptiv,Auto Parts,23.65B
APVO,Aptevo Therapeutics,Biotechnology,3.00M
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,29.69M
APXI,APx Acquisition I,Shell Companies,159.72M
APYX,Apyx Medical,Medical Devices,80.03M
AQB,AquaBounty Technologies,Farm Products,8.85M
AQMS,Aqua Metals,Waste Management,70.07M
AQN,Algonquin Power & Utilities,Utilities - Renewable,4.41B
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,167.59M
AQU,Aquaron Acquisition,Shell Companies,50.04M
AR,Antero Resources,Oil & Gas E&P,6.84B
ARAV,Aravive,Biotechnology,8.40M
ARAY,Accuray,Medical Devices,276.66M
ARBB,ARB IOT Group,Information Technology Services,39.90M
ARBE,Arbe Robotics,Software - Infrastructure,149.42M
ARBK,Argo Blockchain,Capital Markets,153.61M
ARC,ARC Document Solutions,Specialty Business Services,131.89M
ARCB,ArcBest,Trucking,2.79B
ARCC,Ares Capital,Asset Management,11.56B
ARCH,Arch Resources,Thermal Coal,3.10B
ARCO,Arcos Dorados Holdings,Restaurants,2.53B
ARCT,Arcturus Therapeutics Holdings,Biotechnology,855.68M
ARDX,Ardelyx,Biotechnology,2.02B
ARE,Alexandria Real Estate Equities,REIT - Office,21.87B
AREB,American Rebel Holdings,Footwear & Accessories,1.16M
AREC,American Resources,Coking Coal,122.10M
AREN,The Arena Group Holdings,Internet Content & Information,32.89M
ARES,Ares Management,Asset Management,21.96B
ARGX,argenx SE,Biotechnology,24.02B
ARHS,Arhaus,Home Improvement Retail,1.51B
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1.67B
ARIS,Aris Water Solutions,Utilities - Regulated Water,465.58M
ARIZ,Arisz Acquisition,Shell Companies,56.61M
ARKO,Arko Corp.,Specialty Retail,943.82M
ARKR,Ark Restaurants,Restaurants,50.49M
ARL,American Realty Investors,Real Estate - Development,334.02M
ARLO,Arlo Technologies,Security & Protection Services,860.17M
ARLP,"Alliance Resource Partners,",Thermal Coal,2.81B
ARM,Arm Holdings,Semiconductors,71.53B
ARMK,Aramark,Specialty Business Services,7.57B
ARMN,Aris Mining,Gold,442.44M
ARMP,Armata Pharmaceuticals,Biotechnology,131.57M
AROC,Archrock,Oil & Gas Equipment & Services,2.27B
AROW,Arrow Financial,Banks - Regional,444.12M
ARQQ,Arqit Quantum,Software - Infrastructure,74.00M
ARQT,Arcutis Biotherapeutics,Biotechnology,349.21M
ARR,ARMOUR Residential REIT,REIT - Mortgage,967.17M
ARRW,Arrowroot Acquisition,Shell Companies,122.27M
ARRY,Array Technologies,Solar,2.15B
ARTL,Artelo Biosciences,Biotechnology,4.66M
ARTNA,Artesian Resources,Utilities - Regulated Water,391.35M
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,10.37M
ARVL,Arrival,Auto Manufacturers,16.03M
ARVN,Arvinas,Biotechnology,2.09B
ARW,Arrow Electronics,Electronics & Computer Distribution,6.29B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4.03B
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,87.20M
ASA,ASA Gold and Precious Metals,Asset Management,284.53M
ASAI,Sendas Distribuidora,Grocery Stores,3.85B
ASAN,Asana,Software - Application,4.13B
ASB,Associated Banc-Corp,Banks - Regional,3.21B
ASC,Ardmore Shipping,Marine Shipping,610.76M
ASCA,A SPAC I Acquisition,Shell Companies,40.77M
ASCB,A SPAC II Acquisition,Shell Companies,79.46M
ASGN,ASGN Incorporated,Information Technology Services,4.25B
ASH,Ashland,Specialty Chemicals,4.17B
ASIX,AdvanSix,Chemicals,711.31M
ASLE,AerSale,Airports & Air Services,601.56M
ASLN,ASLAN Pharmaceuticals,Biotechnology,13.17M
ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,58.75M
ASMB,Assembly Biosciences,Biotechnology,53.23M
ASML,ASML Holding,Semiconductor Equipment & Materials,283.52B
ASND,Ascendis Pharma,Biotechnology,7.66B
ASNS,Actelis Networks,Communication Equipment,3.59M
ASO,Academy Sports and Outdoors,Specialty Retail,4.67B
ASPI,ASP Isotopes,Pharmaceuticals,95.11M
ASPN,Aspen Aerogels,Building Products & Equipment,1.05B
ASPS,Altisource Portfolio Solutions,Real Estate Services,74.72M
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,8.38B
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,85.35M
ASRV,AmeriServ Financial,Banks - Regional,54.53M
ASST,Asset Entities,Internet Content & Information,5.96M
ASTC,Astrotech,Aerospace & Defense,12.93M
ASTE,Astec Industries,Farm & Heavy Construction Machinery,785.87M
ASTI,Ascent Solar Technologies,Solar,2.81M
ASTL,Algoma Steel Group,Steel,966.29M
ASTR,Astra Space,Aerospace & Defense,38.69M
ASTS,AST SpaceMobile,Telecom Services,929.47M
ASUR,Asure Software,Software - Application,203.03M
ASX,ASE Technology Holding Co.,Semiconductors,18.89B
ASXC,Asensus Surgical,Medical Devices,88.41M
ASYS,Amtech Systems,Semiconductor Equipment & Materials,56.62M
ATAI,Atai Life Sciences,Biotechnology,332.02M
ATAK,Aurora Technology Acquisition,Shell Companies,44.24M
ATAT,Atour Lifestyle Holdings,Lodging,2.23B
ATEC,Alphatec Holdings,Medical Devices,2.04B
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,132.48M
ATEN,A10 Networks,Software - Infrastructure,997.16M
ATER,Aterian,"Furnishings, Fixtures & Appliances",26.17M
ATEX,Anterix,Telecom Services,576.61M
ATGE,Adtalem Global Education,Education & Training Services,2.30B
ATGL,Alpha Technology Group,Software - Infrastructure,195.82M
ATHA,Athira Pharma,Biotechnology,113.78M
ATHE,Alterity Therapeutics,Biotechnology,7.69M
ATHM,Autohome,Internet Content & Information,3.20B
ATI,ATI Inc.,Metal Fabrication,5.44B
ATIF,ATIF Holdings,Capital Markets,11.55M
ATIP,ATI Physical Therapy,Medical Care Facilities,26.60M
ATKR,Atkore,Electrical Equipment & Parts,5.64B
ATLC,Atlanticus Holdings,Credit Services,515.60M
ATLO,Ames National,Banks - Regional,179.84M
ATLX,Atlas Lithium,Other Precious Metals & Mining,301.55M
ATMC,AlphaTime Acquisition,Shell Companies,97.48M
ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1.88B
ATMV,AlphaVest Acquisition,Shell Companies,98.41M
ATNF,180 Life Sciences,Biotechnology,2.25M
ATNI,ATN International,Telecom Services,567.97M
ATNM,Actinium Pharmaceuticals,Biotechnology,141.73M
ATO,Atmos Energy,Utilities - Regulated Gas,17.40B
ATOM,Atomera,Semiconductor Equipment & Materials,173.63M
ATOS,Atossa Therapeutics,Biotechnology,113.16M
ATPC,Agape ATP,Packaged Foods,47.43M
ATR,AptarGroup,Medical Instruments & Supplies,8.34B
ATRA,Atara Biotherapeutics,Biotechnology,61.43M
ATRC,AtriCure,Medical Instruments & Supplies,1.66B
ATRI,Atrion,Medical Instruments & Supplies,624.73M
ATRO,Astronics,Aerospace & Defense,563.71M
ATS,ATS Corporation,Specialty Industrial Machinery,3.37B
ATSG,Air Transport Services Group,Airlines,1.07B
ATUS,Altice USA,Telecom Services,1.67B
ATXG,Addentax Group,Integrated Freight & Logistics,5.37M
ATXI,Avenue Therapeutics,Biotechnology,2.30M
ATXS,Astria Therapeutics,Biotechnology,276.58M
